	P28566	P08913	P30556	Q5T6X5	P08912	P43115	Q96G91	P25101	Q9UBS5	P35462	P51681	P20309	P28335	P08588	Q14832	O60883	P43119	Q13639	P41231	P13945	O95665	P34995	Q9Y271	P35372	P08100	P21554	P18089	Q9NPC1	P37288	P24530	P08172	P48039	P21728	P30542	Q8NFJ5	Q15722	Q14416	P29274	P30872	P50406	P11229	Q15391	P30518	P07550	P35368	Q13258	P41595	Q8TDS4	P32745	P28222	P41143	P08173	Q99677	P08908	P25100	P47900	P18825	P43088	P41594	P25105	P25024	P51582	P28223	Q9NS75	P34981	P34969	P14416	Q9Y5N1	P32238	Q13255	P25021	Q9H3N8	P43116	P35348	P32239	P35346	O15303	Q15077	Q14833	P29275	P30874	P30939	Q9H244	P21918	P21731	P21917	P47898	O00222	Q14831	P35367	P43657	P28221	P41145	P0DMS8
P51681	0.25	0.125	0.16666666666666666	0.2916666666666667	0.5357142857142857	0.125	0.16666666666666666	0.3	0.36666666666666664	0.2692307692307692	1.0	0.35714285714285715	0.2692307692307692	0.1	0.2962962962962963	0.3076923076923077	0.15384615384615385	0.20689655172413793	0.125	0.041666666666666664	0.08333333333333333	0.08695652173913043	0.11538461538461539	0.19230769230769232	0.25	0.3	0.045454545454545456	0.047619047619047616	0.09090909090909091	0.19230769230769232	0.2	0.3333333333333333	0.047619047619047616	0.3333333333333333	0.09090909090909091	0.17391304347826086	0.3	0.043478260869565216	0.18518518518518517	0.043478260869565216	0.28	0.25	0.1875	0.16666666666666666	0.21428571428571427	0.125	0.24	0.2692307692307692	0.19230769230769232	0.5555555555555556	0.125	0.28	0.20833333333333334	0.125	0.0	0.08	0.14285714285714285	0.17857142857142858	0.3448275862068966	0.20833333333333334	0.20833333333333334	0.16666666666666666	0.2916666666666667	0.2608695652173913	0.37037037037037035	0.2	0.36	0.043478260869565216	0.20833333333333334	0.375	0.24	0.15384615384615385	0.16	0.19230769230769232	0.045454545454545456	0.125	0.1935483870967742	0.18518518518518517	0.3333333333333333	0.23333333333333334	0.2	0.08695652173913043	0.3	0.19230769230769232	0.14814814814814814	0.12	0.24	0.32	0.3333333333333333	0.2	0.2	0.32	0.2692307692307692	0.0	
P20309	0.4	0.08695652173913043	0.23809523809523808	0.3181818181818182	0.5769230769230769	0.25	0.13043478260869565	0.37037037037037035	0.4444444444444444	0.24	0.35714285714285715	1.0	0.2916666666666667	0.24	0.375	0.45454545454545453	0.21739130434782608	0.2222222222222222	0.13636363636363635	0.09523809523809523	0.2	0.045454545454545456	0.17391304347826086	0.2608695652173913	0.3333333333333333	0.37037037037037035	0.05	0.05263157894736842	0.1	0.3181818181818182	0.4	0.26666666666666666	0.05263157894736842	0.25	0.047619047619047616	0.25	0.27586206896551724	0.1	0.30434782608695654	0.15789473684210525	0.5	0.12	0.2857142857142857	0.23809523809523808	0.391304347826087	0.19047619047619047	0.2608695652173913	0.4090909090909091	0.20833333333333334	0.42857142857142855	0.13636363636363635	0.36363636363636365	0.125	0.13636363636363635	0.0	0.25	0.07142857142857142	0.2916666666666667	0.4230769230769231	0.08	0.22727272727272727	0.18181818181818182	0.45	0.22727272727272727	0.34615384615384615	0.3333333333333333	0.3333333333333333	0.1	0.17391304347826086	0.4	0.20833333333333334	0.4	0.17391304347826086	0.45	0.05	0.19047619047619047	0.4	0.30434782608695654	0.6153846153846154	0.25	0.2727272727272727	0.21052631578947367	0.27586206896551724	0.20833333333333334	0.3181818181818182	0.13043478260869565	0.3181818181818182	0.4090909090909091	0.4166666666666667	0.2727272727272727	0.36	0.47619047619047616	0.19230769230769232	0.05555555555555555	
P28335	0.15	0.05263157894736842	0.23529411764705882	0.2	0.3333333333333333	0.17647058823529413	0.10526315789473684	0.3333333333333333	0.3076923076923077	0.13043478260869565	0.2692307692307692	0.2916666666666667	1.0	0.18181818181818182	0.16666666666666666	0.17391304347826086	0.15	0.2727272727272727	0.1111111111111111	0.2	0.1875	0.058823529411764705	0.1	0.14285714285714285	0.2777777777777778	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.21428571428571427	0.2	0.21052631578947367	0.32	0.0	0.13636363636363635	0.0625	0.25	0.23076923076923078	0.13333333333333333	0.19047619047619047	0.13333333333333333	0.25	0.15	0.10714285714285714	0.05	0.22727272727272727	0.1111111111111111	0.14285714285714285	0.18181818181818182	0.2631578947368421	0.16666666666666666	0.1111111111111111	0.25	0.047619047619047616	0.05263157894736842	0.0	0.17647058823529413	0.041666666666666664	0.18181818181818182	0.14285714285714285	0.047619047619047616	0.15789473684210525	0.23529411764705882	0.2631578947368421	0.047619047619047616	0.2	0.15	0.08	0.0625	0.29411764705882354	0.1935483870967742	0.09090909090909091	0.21052631578947367	0.1	0.2	0.0	0.25	0.1111111111111111	0.13636363636363635	0.1935483870967742	0.15384615384615385	0.09523809523809523	0.058823529411764705	0.23076923076923078	0.2631578947368421	0.2	0.10526315789473684	0.2	0.18181818181818182	0.07407407407407407	0.15	0.16	0.18181818181818182	0.18181818181818182	0.07692307692307693	
P08588	0.21052631578947367	0.17647058823529413	0.16666666666666666	0.14285714285714285	0.2413793103448276	0.25	0.16666666666666666	0.18518518518518517	0.21428571428571427	0.3	0.1	0.24	0.18181818181818182	1.0	0.16666666666666666	0.22727272727272727	0.21052631578947367	0.2727272727272727	0.17647058823529413	0.125	0.05555555555555555	0.058823529411764705	0.1	0.2631578947368421	0.21052631578947367	0.14285714285714285	0.14285714285714285	0.07142857142857142	0.0625	0.14285714285714285	0.21052631578947367	0.17857142857142858	0.07142857142857142	0.13636363636363635	0.0625	0.25	0.391304347826087	0.13333333333333333	0.19047619047619047	0.21428571428571427	0.25	0.09523809523809523	0.06896551724137931	0.10526315789473684	0.2857142857142857	0.17647058823529413	0.3333333333333333	0.3	0.3333333333333333	0.20689655172413793	0.17647058823529413	0.3157894736842105	0.1	0.17647058823529413	0.0	0.3333333333333333	0.19047619047619047	0.13043478260869565	0.23076923076923078	0.047619047619047616	0.29411764705882354	0.10526315789473684	0.3333333333333333	0.1	0.2	0.21052631578947367	0.22727272727272727	0.0625	0.2222222222222222	0.23333333333333334	0.09090909090909091	0.21052631578947367	0.1	0.2631578947368421	0.06666666666666667	0.25	0.25	0.47058823529411764	0.15625	0.30434782608695654	0.21052631578947367	0.2857142857142857	0.14285714285714285	0.3333333333333333	0.3333333333333333	0.3125	0.14285714285714285	0.13043478260869565	0.20833333333333334	0.09523809523809523	0.20833333333333334	0.23809523809523808	0.13043478260869565	0.07692307692307693	
Q14832	0.25	0.047619047619047616	0.21052631578947367	0.23809523809523808	0.35714285714285715	0.2222222222222222	0.15	0.3076923076923077	0.2857142857142857	0.12	0.2962962962962963	0.375	0.16666666666666666	0.16666666666666666	1.0	0.3181818181818182	0.08695652173913043	0.2	0.1	0.0	0.05	0.0	0.14285714285714285	0.3	0.19047619047619047	0.4166666666666667	0.058823529411764705	0.0	0.05555555555555555	0.08333333333333333	0.25	0.16666666666666666	0.0625	0.22727272727272727	0.11764705882352941	0.15789473684210525	0.36	0.05555555555555555	0.2857142857142857	0.1875	0.2857142857142857	0.13636363636363635	0.17857142857142858	0.09523809523809523	0.20833333333333334	0.1	0.3	0.21739130434782608	0.23809523809523808	0.37037037037037035	0.0	0.22727272727272727	0.14285714285714285	0.15789473684210525	0.0	0.15789473684210525	0.08	0.2727272727272727	0.4782608695652174	0.2	0.14285714285714285	0.15	0.3	0.2	0.3333333333333333	0.25	0.20833333333333334	0.11764705882352941	0.2	0.3448275862068966	0.23809523809523808	0.13636363636363635	0.2	0.3	0.058823529411764705	0.15789473684210525	0.3333333333333333	0.22727272727272727	0.3448275862068966	0.28	0.25	0.17647058823529413	0.13333333333333333	0.23809523809523808	0.3	0.09523809523809523	0.3	0.4	0.24	0.13636363636363635	0.24	0.2727272727272727	0.3333333333333333	0.0	
O60883	0.2	0.16666666666666666	0.29411764705882354	0.3157894736842105	0.4230769230769231	0.4	0.29411764705882354	0.2222222222222222	0.4583333333333333	0.125	0.3076923076923077	0.45454545454545453	0.17391304347826086	0.22727272727272727	0.3181818181818182	1.0	0.2631578947368421	0.2608695652173913	0.3125	0.11764705882352941	0.17647058823529413	0.1875	0.09523809523809523	0.19047619047619047	0.3333333333333333	0.32	0.0625	0.14285714285714285	0.125	0.3157894736842105	0.5	0.21428571428571427	0.14285714285714285	0.3	0.125	0.4	0.2692307692307692	0.125	0.3	0.2	0.3684210526315789	0.2631578947368421	0.28	0.2222222222222222	0.4	0.16666666666666666	0.3157894736842105	0.35	0.3157894736842105	0.38461538461538464	0.16666666666666666	0.3	0.0	0.16666666666666666	0.0	0.3125	0.18181818181818182	0.2857142857142857	0.5	0.09523809523809523	0.4375	0.15789473684210525	0.3888888888888889	0.2777777777777778	0.47619047619047616	0.2631578947368421	0.3333333333333333	0.125	0.21052631578947367	0.26666666666666666	0.3157894736842105	0.3333333333333333	0.2777777777777778	0.3157894736842105	0.13333333333333333	0.16666666666666666	0.4090909090909091	0.3684210526315789	0.35714285714285715	0.2916666666666667	0.4117647058823529	0.1875	0.17857142857142858	0.25	0.3888888888888889	0.2222222222222222	0.25	0.22727272727272727	0.36363636363636365	0.2	0.25	0.2857142857142857	0.17391304347826086	0.07142857142857142	
P43119	0.25	0.3076923076923077	0.125	0.3125	0.2222222222222222	0.13333333333333333	0.2857142857142857	0.20833333333333334	0.19230769230769232	0.21052631578947367	0.15384615384615385	0.21739130434782608	0.15	0.21052631578947367	0.08695652173913043	0.2631578947368421	1.0	0.19047619047619047	0.13333333333333333	0.25	0.14285714285714285	0.25	0.05555555555555555	0.10526315789473684	0.25	0.03571428571428571	0.08333333333333333	0.09090909090909091	0.2727272727272727	0.23529411764705882	0.25	0.25	0.2	0.375	0.0	0.13333333333333333	0.20833333333333334	0.07692307692307693	0.1	0.07692307692307693	0.29411764705882354	0.1111111111111111	0.2727272727272727	0.058823529411764705	0.2631578947368421	0.4166666666666667	0.16666666666666666	0.21052631578947367	0.23529411764705882	0.23076923076923078	0.21428571428571427	0.15789473684210525	0.05555555555555555	0.21428571428571427	0.0	0.21428571428571427	0.15789473684210525	0.09523809523809523	0.16	0.05555555555555555	0.26666666666666666	0.125	0.23529411764705882	0.11764705882352941	0.17391304347826086	0.1111111111111111	0.2	0.0	0.26666666666666666	0.1724137931034483	0.10526315789473684	0.25	0.26666666666666666	0.16666666666666666	0.08333333333333333	0.13333333333333333	0.125	0.15789473684210525	0.13333333333333333	0.2857142857142857	0.17647058823529413	0.15384615384615385	0.16	0.23529411764705882	0.16666666666666666	0.058823529411764705	0.23529411764705882	0.09523809523809523	0.13043478260869565	0.05263157894736842	0.13043478260869565	0.21052631578947367	0.21052631578947367	0.1	
Q13639	0.25	0.29411764705882354	0.2777777777777778	0.23809523809523808	0.3103448275862069	0.2222222222222222	0.09523809523809523	0.25925925925925924	0.5	0.21739130434782608	0.20689655172413793	0.2222222222222222	0.2727272727272727	0.2727272727272727	0.2	0.2608695652173913	0.19047619047619047	1.0	0.2222222222222222	0.1111111111111111	0.10526315789473684	0.1111111111111111	0.3333333333333333	0.13043478260869565	0.3157894736842105	0.25925925925925924	0.058823529411764705	0.0625	0.1875	0.18181818181818182	0.3157894736842105	0.25	0.0625	0.125	0.11764705882352941	0.29411764705882354	0.3076923076923077	0.11764705882352941	0.2857142857142857	0.1875	0.22727272727272727	0.25	0.17857142857142858	0.21052631578947367	0.38095238095238093	0.15789473684210525	0.3	0.2727272727272727	0.4444444444444444	0.32142857142857145	0.2222222222222222	0.2857142857142857	0.043478260869565216	0.15789473684210525	0.06666666666666667	0.375	0.17391304347826086	0.21739130434782608	0.21428571428571427	0.2631578947368421	0.4117647058823529	0.09523809523809523	0.3684210526315789	0.2	0.23076923076923078	0.13636363636363635	0.2608695652173913	0.11764705882352941	0.2	0.18181818181818182	0.23809523809523808	0.25	0.14285714285714285	0.23809523809523808	0.058823529411764705	0.15789473684210525	0.18518518518518517	0.22727272727272727	0.25806451612903225	0.18518518518518517	0.3888888888888889	0.25	0.25925925925925924	0.3	0.23809523809523808	0.21052631578947367	0.18181818181818182	0.16666666666666666	0.34782608695652173	0.19047619047619047	0.19230769230769232	0.2727272727272727	0.2727272727272727	0.06666666666666667	
P41231	0.0625	0.07692307692307693	0.25	0.058823529411764705	0.15384615384615385	0.4	0.25	0.13043478260869565	0.2727272727272727	0.05263157894736842	0.125	0.13636363636363635	0.1111111111111111	0.17647058823529413	0.1	0.3125	0.13333333333333333	0.2222222222222222	1.0	0.09090909090909091	0.3	0.3333333333333333	0.06666666666666667	0.125	0.13333333333333333	0.18181818181818182	0.1111111111111111	0.2857142857142857	0.2222222222222222	0.2857142857142857	0.0625	0.125	0.125	0.1875	0.2222222222222222	0.5555555555555556	0.18181818181818182	0.2222222222222222	0.26666666666666666	0.1	0.11764705882352941	0.13333333333333333	0.19047619047619047	0.15384615384615385	0.16666666666666666	0.16666666666666666	0.125	0.3333333333333333	0.2857142857142857	0.16	0.2727272727272727	0.11764705882352941	0.06666666666666667	0.07692307692307693	0.0	0.16666666666666666	0.11764705882352941	0.17647058823529413	0.23809523809523808	0.06666666666666667	0.3333333333333333	0.15384615384615385	0.2857142857142857	0.06666666666666667	0.2631578947368421	0.0625	0.16666666666666666	0.0	0.06666666666666667	0.14814814814814814	0.2	0.13333333333333333	0.23076923076923078	0.058823529411764705	0.25	0.16666666666666666	0.3333333333333333	0.1875	0.19230769230769232	0.2	0.13333333333333333	0.2	0.23809523809523808	0.125	0.2857142857142857	0.25	0.0	0.1111111111111111	0.21052631578947367	0.0625	0.09523809523809523	0.05263157894736842	0.05263157894736842	0.14285714285714285	
P13945	0.07142857142857142	0.09090909090909091	0.08333333333333333	0.14285714285714285	0.07692307692307693	0.09090909090909091	0.18181818181818182	0.14285714285714285	0.08333333333333333	0.058823529411764705	0.041666666666666664	0.09523809523809523	0.2	0.125	0.0	0.11764705882352941	0.25	0.1111111111111111	0.09090909090909091	1.0	0.1	0.25	0.07692307692307693	0.0	0.15384615384615385	0.043478260869565216	0.14285714285714285	0.16666666666666666	0.125	0.23076923076923078	0.15384615384615385	0.13636363636363635	0.0	0.21428571428571427	0.0	0.2	0.14285714285714285	0.125	0.0	0.125	0.13333333333333333	0.15384615384615385	0.21052631578947367	0.08333333333333333	0.1875	0.2	0.06666666666666667	0.125	0.14285714285714285	0.08	0.2	0.0625	0.0	0.09090909090909091	0.0	0.2	0.0	0.058823529411764705	0.09090909090909091	0.0	0.16666666666666666	0.08333333333333333	0.14285714285714285	0.0	0.1	0.0	0.05555555555555555	0.0	0.07692307692307693	0.07407407407407407	0.0	0.15384615384615385	0.07692307692307693	0.06666666666666667	0.0	0.09090909090909091	0.047619047619047616	0.13333333333333333	0.03571428571428571	0.1	0.07142857142857142	0.1111111111111111	0.09090909090909091	0.14285714285714285	0.06666666666666667	0.18181818181818182	0.14285714285714285	0.0	0.10526315789473684	0.0	0.10526315789473684	0.058823529411764705	0.0	0.2	
O95665	0.14285714285714285	0.0	0.16666666666666666	0.13333333333333333	0.16	0.4444444444444444	0.16666666666666666	0.19047619047619047	0.17391304347826086	0.05555555555555555	0.08333333333333333	0.2	0.1875	0.05555555555555555	0.05	0.17647058823529413	0.14285714285714285	0.10526315789473684	0.3	0.1	1.0	0.2222222222222222	0.07142857142857142	0.0625	0.14285714285714285	0.13636363636363635	0.125	0.3333333333333333	0.25	0.3076923076923077	0.06666666666666667	0.18181818181818182	0.0	0.2	0.1111111111111111	0.3	0.13636363636363635	0.1111111111111111	0.125	0.0	0.2857142857142857	0.14285714285714285	0.14285714285714285	0.16666666666666666	0.17647058823529413	0.3	0.0625	0.35714285714285715	0.0625	0.037037037037037035	0.18181818181818182	0.0	0.07142857142857142	0.0	0.0	0.18181818181818182	0.0	0.11764705882352941	0.13636363636363635	0.0	0.15384615384615385	0.2727272727272727	0.3076923076923077	0.0	0.15	0.14285714285714285	0.05263157894736842	0.0	0.15384615384615385	0.1111111111111111	0.0625	0.14285714285714285	0.25	0.0625	0.125	0.18181818181818182	0.21052631578947367	0.2	0.2	0.09523809523809523	0.06666666666666667	0.1	0.3157894736842105	0.0625	0.3076923076923077	0.07692307692307693	0.0625	0.11764705882352941	0.15789473684210525	0.14285714285714285	0.1	0.05555555555555555	0.11764705882352941	0.16666666666666666	
P34995	0.07142857142857142	0.09090909090909091	0.08333333333333333	0.06666666666666667	0.07692307692307693	0.2	0.4444444444444444	0.09090909090909091	0.08333333333333333	0.0	0.08695652173913043	0.045454545454545456	0.058823529411764705	0.058823529411764705	0.0	0.1875	0.25	0.1111111111111111	0.3333333333333333	0.25	0.2222222222222222	1.0	0.0	0.0	0.07142857142857142	0.14285714285714285	0.14285714285714285	0.4	0.2857142857142857	0.23076923076923078	0.07142857142857142	0.19047619047619047	0.16666666666666666	0.3076923076923077	0.125	0.2	0.14285714285714285	0.125	0.0	0.0	0.13333333333333333	0.15384615384615385	0.15	0.08333333333333333	0.1875	0.3333333333333333	0.06666666666666667	0.125	0.14285714285714285	0.125	0.2	0.0	0.0	0.09090909090909091	0.2	0.09090909090909091	0.13333333333333333	0.125	0.09090909090909091	0.0	0.16666666666666666	0.08333333333333333	0.14285714285714285	0.0	0.15789473684210525	0.07142857142857142	0.1875	0.125	0.07692307692307693	0.07407407407407407	0.14285714285714285	0.07142857142857142	0.16666666666666666	0.0	0.14285714285714285	0.0	0.1	0.13333333333333333	0.07407407407407407	0.15789473684210525	0.07142857142857142	0.1111111111111111	0.09090909090909091	0.06666666666666667	0.14285714285714285	0.08333333333333333	0.06666666666666667	0.0	0.10526315789473684	0.0	0.05	0.0	0.0	0.2	
Q9Y271	0.26666666666666666	0.06666666666666667	0.21428571428571427	0.05263157894736842	0.18518518518518517	0.14285714285714285	0.0625	0.16666666666666666	0.2	0.2222222222222222	0.11538461538461539	0.17391304347826086	0.1	0.1	0.14285714285714285	0.09523809523809523	0.05555555555555555	0.3333333333333333	0.06666666666666667	0.07692307692307693	0.07142857142857142	0.0	1.0	0.17647058823529413	0.26666666666666666	0.12	0.0	0.0	0.0	0.05263157894736842	0.1875	0.16	0.1	0.10526315789473684	0.18181818181818182	0.14285714285714285	0.12	0.0	0.16666666666666666	0.3	0.16666666666666666	0.26666666666666666	0.125	0.21428571428571427	0.21052631578947367	0.06666666666666667	0.25	0.29411764705882354	0.25	0.19230769230769232	0.14285714285714285	0.16666666666666666	0.125	0.06666666666666667	0.0	0.23076923076923078	0.05	0.15789473684210525	0.037037037037037035	0.2857142857142857	0.2	0.21428571428571427	0.17647058823529413	0.2	0.08333333333333333	0.1875	0.21052631578947367	0.08333333333333333	0.125	0.13793103448275862	0.25	0.26666666666666666	0.125	0.17647058823529413	0.0	0.0	0.08333333333333333	0.10526315789473684	0.2222222222222222	0.08333333333333333	0.26666666666666666	0.16666666666666666	0.3333333333333333	0.1111111111111111	0.1111111111111111	0.0625	0.25	0.1	0.25	0.35714285714285715	0.3157894736842105	0.15789473684210525	0.15789473684210525	0.0	
P35372	0.23529411764705882	0.058823529411764705	0.11764705882352941	0.15789473684210525	0.25925925925925924	0.2	0.1875	0.30434782608695654	0.23076923076923078	0.2631578947368421	0.19230769230769232	0.2608695652173913	0.14285714285714285	0.2631578947368421	0.3	0.19047619047619047	0.10526315789473684	0.13043478260869565	0.125	0.0	0.0625	0.0	0.17647058823529413	1.0	0.23529411764705882	0.25	0.0	0.0	0.0	0.1	0.10526315789473684	0.14814814814814814	0.0	0.09523809523809523	0.07142857142857142	0.2	0.2	0.07142857142857142	0.2777777777777778	0.15384615384615385	0.15	0.05	0.11538461538461539	0.1875	0.25	0.058823529411764705	0.375	0.2631578947368421	0.15789473684210525	0.2222222222222222	0.125	0.21052631578947367	0.17647058823529413	0.125	0.0	0.2	0.09523809523809523	0.09090909090909091	0.2	0.1111111111111111	0.1111111111111111	0.1875	0.2222222222222222	0.25	0.2727272727272727	0.23529411764705882	0.25	0.15384615384615385	0.1111111111111111	0.20689655172413793	0.15789473684210525	0.10526315789473684	0.17647058823529413	0.2222222222222222	0.16666666666666666	0.2	0.2727272727272727	0.21052631578947367	0.25	0.2727272727272727	0.16666666666666666	0.14285714285714285	0.15384615384615385	0.2222222222222222	0.15789473684210525	0.11764705882352941	0.15789473684210525	0.2	0.125	0.16666666666666666	0.22727272727272727	0.2631578947368421	0.3333333333333333	0.0	
P08100	0.25	0.21428571428571427	0.38461538461538464	0.3125	0.32	0.3076923076923077	0.125	0.2608695652173913	0.2916666666666667	0.35294117647058826	0.25	0.3333333333333333	0.2777777777777778	0.21052631578947367	0.19047619047619047	0.3333333333333333	0.25	0.3157894736842105	0.13333333333333333	0.15384615384615385	0.14285714285714285	0.07142857142857142	0.26666666666666666	0.23529411764705882	1.0	0.16	0.08333333333333333	0.09090909090909091	0.07692307692307693	0.23529411764705882	0.3333333333333333	0.25	0.09090909090909091	0.15789473684210525	0.07692307692307693	0.3076923076923077	0.3181818181818182	0.07692307692307693	0.15789473684210525	0.16666666666666666	0.2222222222222222	0.3333333333333333	0.16666666666666666	0.2	0.2631578947368421	0.13333333333333333	0.3125	0.2777777777777778	0.23529411764705882	0.28	0.21428571428571427	0.375	0.0	0.0625	0.0	0.4166666666666667	0.1	0.15	0.20833333333333334	0.1875	0.26666666666666666	0.125	0.4	0.05555555555555555	0.22727272727272727	0.17647058823529413	0.2	0.07692307692307693	0.1875	0.25925925925925924	0.16666666666666666	0.3333333333333333	0.35714285714285715	0.16666666666666666	0.08333333333333333	0.13333333333333333	0.17391304347826086	0.29411764705882354	0.21428571428571427	0.22727272727272727	0.25	0.25	0.2608695652173913	0.23529411764705882	0.3125	0.125	0.23529411764705882	0.2777777777777778	0.23809523809523808	0.25	0.18181818181818182	0.35294117647058826	0.15	0.1	
P21554	0.20833333333333334	0.08333333333333333	0.17391304347826086	0.2	0.4	0.18181818181818182	0.08	0.35714285714285715	0.3793103448275862	0.06666666666666667	0.3	0.37037037037037035	0.14285714285714285	0.14285714285714285	0.4166666666666667	0.32	0.03571428571428571	0.25925925925925924	0.18181818181818182	0.043478260869565216	0.13636363636363635	0.14285714285714285	0.12	0.25	0.16	1.0	0.047619047619047616	0.10526315789473684	0.09523809523809523	0.25	0.20833333333333334	0.18181818181818182	0.0	0.19230769230769232	0.09523809523809523	0.18181818181818182	0.3103448275862069	0.09523809523809523	0.14814814814814814	0.045454545454545456	0.19230769230769232	0.20833333333333334	0.27586206896551724	0.2857142857142857	0.2692307692307692	0.13043478260869565	0.25	0.23076923076923078	0.1111111111111111	0.3225806451612903	0.13043478260869565	0.10714285714285714	0.16666666666666666	0.13043478260869565	0.05263157894736842	0.13043478260869565	0.10714285714285714	0.3333333333333333	0.4074074074074074	0.21739130434782608	0.16666666666666666	0.17391304347826086	0.25	0.21739130434782608	0.5	0.2608695652173913	0.32	0.09523809523809523	0.12	0.4827586206896552	0.30434782608695654	0.07407407407407407	0.16666666666666666	0.15384615384615385	0.1	0.08333333333333333	0.38461538461538464	0.19230769230769232	0.4827586206896552	0.2413793103448276	0.20833333333333334	0.14285714285714285	0.26666666666666666	0.07142857142857142	0.25	0.08	0.1111111111111111	0.23076923076923078	0.4583333333333333	0.2608695652173913	0.25	0.23076923076923078	0.28	0.05263157894736842	
P18089	0.08333333333333333	0.0	0.1	0.16666666666666666	0.08333333333333333	0.1111111111111111	0.1	0.1	0.043478260869565216	0.0	0.045454545454545456	0.05	0.14285714285714285	0.14285714285714285	0.058823529411764705	0.0625	0.08333333333333333	0.058823529411764705	0.1111111111111111	0.14285714285714285	0.125	0.14285714285714285	0.0	0.0	0.08333333333333333	0.047619047619047616	1.0	0.25	0.16666666666666666	0.07692307692307693	0.08333333333333333	0.15	0.0	0.15384615384615385	0.0	0.1111111111111111	0.15789473684210525	0.16666666666666666	0.07142857142857142	0.0	0.15384615384615385	0.18181818181818182	0.05	0.1	0.0625	0.1111111111111111	0.0	0.06666666666666667	0.16666666666666666	0.041666666666666664	0.1111111111111111	0.0	0.09090909090909091	0.0	0.0	0.1111111111111111	0.07142857142857142	0.06666666666666667	0.1	0.0	0.09090909090909091	0.0	0.07692307692307693	0.0	0.1111111111111111	0.0	0.0	0.0	0.09090909090909091	0.125	0.07692307692307693	0.08333333333333333	0.09090909090909091	0.0	0.0	0.25	0.05263157894736842	0.07142857142857142	0.038461538461538464	0.05263157894736842	0.08333333333333333	0.14285714285714285	0.1	0.16666666666666666	0.16666666666666666	0.0	0.07692307692307693	0.0	0.05555555555555555	0.0	0.11764705882352941	0.0	0.0	0.3333333333333333	
Q9NPC1	0.09090909090909091	0.0	0.1111111111111111	0.08333333333333333	0.08695652173913043	0.2857142857142857	0.25	0.05	0.09523809523809523	0.0	0.047619047619047616	0.05263157894736842	0.07142857142857142	0.07142857142857142	0.0	0.14285714285714285	0.09090909090909091	0.0625	0.2857142857142857	0.16666666666666666	0.3333333333333333	0.4	0.0	0.0	0.09090909090909091	0.10526315789473684	0.25	1.0	0.2	0.18181818181818182	0.09090909090909091	0.1	0.0	0.16666666666666666	0.2	0.2857142857142857	0.10526315789473684	0.2	0.0	0.0	0.16666666666666666	0.2	0.1111111111111111	0.1111111111111111	0.14285714285714285	0.2857142857142857	0.08333333333333333	0.15384615384615385	0.08333333333333333	0.043478260869565216	0.125	0.0	0.0	0.0	0.0	0.125	0.0	0.15384615384615385	0.10526315789473684	0.0	0.2222222222222222	0.1111111111111111	0.18181818181818182	0.0	0.11764705882352941	0.09090909090909091	0.06666666666666667	0.0	0.1	0.08333333333333333	0.08333333333333333	0.09090909090909091	0.2222222222222222	0.0	0.25	0.0	0.11764705882352941	0.16666666666666666	0.08333333333333333	0.05555555555555555	0.09090909090909091	0.16666666666666666	0.10526315789473684	0.08333333333333333	0.18181818181818182	0.1111111111111111	0.0	0.0	0.125	0.0	0.058823529411764705	0.0	0.0	0.5	
P37288	0.16666666666666666	0.0	0.09090909090909091	0.15384615384615385	0.08	0.1	0.2	0.15	0.13636363636363635	0.0	0.09090909090909091	0.1	0.21428571428571427	0.0625	0.05555555555555555	0.125	0.2727272727272727	0.1875	0.2222222222222222	0.125	0.25	0.2857142857142857	0.0	0.0	0.07692307692307693	0.09523809523809523	0.16666666666666666	0.2	1.0	0.15384615384615385	0.07692307692307693	0.14285714285714285	0.2	0.14285714285714285	0.0	0.1	0.09523809523809523	0.14285714285714285	0.06666666666666667	0.0	0.14285714285714285	0.07692307692307693	0.1	0.09090909090909091	0.125	0.2222222222222222	0.0	0.0625	0.15384615384615385	0.04	0.2222222222222222	0.0	0.0	0.0	0.0	0.1	0.06666666666666667	0.0625	0.045454545454545456	0.0	0.08333333333333333	0.09090909090909091	0.15384615384615385	0.0	0.10526315789473684	0.07692307692307693	0.058823529411764705	0.0	0.08333333333333333	0.037037037037037035	0.07142857142857142	0.07692307692307693	0.08333333333333333	0.0	0.0	0.1	0.05	0.06666666666666667	0.07692307692307693	0.10526315789473684	0.07692307692307693	0.125	0.09523809523809523	0.07142857142857142	0.15384615384615385	0.0	0.07142857142857142	0.0	0.05263157894736842	0.0	0.05263157894736842	0.0625	0.13333333333333333	0.25	
